id,found,center_x,center_y,radius,rms,center_error_px,method,block,time_ms
573,1,2113.09,471.6,138.625,0.32195,4.68857,algebraic,NONE,32.9153
574,1,502.303,488.914,135.839,0.375859,7.94464,algebraic,ELLIPSE,37.8304
575,0,-1,-1,-1,-1,-1,none,ELLIPSE,28.4768
576,1,198.055,1018.67,135.259,1.90914,4.76109,algebraic,VERTICAL_WIRE,24.4225
577,1,1096.09,1342.6,138.625,0.32195,4.68849,algebraic,ELLIPSE,21.9824
578,1,2963.09,1621.6,138.625,0.32195,4.68851,algebraic,NONE,21.9743
579,1,272.108,390.033,136.157,1.64951,4.55128,algebraic,VERTICAL_WIRE,38.3758
580,1,2130.09,1580.6,138.625,0.32195,4.68851,algebraic,ELLIPSE,22.2676
581,1,885.091,267.6,138.625,0.32195,4.68856,algebraic,SQUARE,21.7772
582,0,-1,-1,-1,-1,-1,none,CIRCLE,22.5354
583,1,2521.62,721.108,136.363,0.597556,2.14206,ransac,VERTICAL_WIRE,29.0499
584,1,2707.09,1142.6,138.625,0.32195,4.68851,algebraic,NONE,38.6432
585,1,3292.02,1243.97,139.207,0.487555,4.97219,ransac,VERTICAL_WIRE,23.1798
586,1,1573.09,1837.6,138.625,0.32195,4.68849,algebraic,NONE,33.9097
587,0,-1,-1,-1,-1,-1,none,CIRCLE,22.3849
588,1,1304.09,1466.6,138.625,0.32195,4.68849,algebraic,CIRCLE,36.4066
589,1,854.098,749.836,138.608,0.427419,4.91985,ransac,SQUARE,22.6547
590,1,1576.17,1022.46,133.205,0.949542,1.54477,algebraic,VERTICAL_WIRE,37.4633
591,1,2758.35,1459.29,137.2,0.420398,6.32761,algebraic,ELLIPSE,48.2091
592,1,531,249.5,136.679,0.370792,4.60977,ransac,ELLIPSE,37.309
593,1,952.588,286.96,137.179,0.625204,4.63675,algebraic,VERTICAL_WIRE,33.6156
594,1,835.2,1773.48,130.399,1.34173,11.7,algebraic,VERTICAL_WIRE,31.4117
595,1,1775.09,1459.6,138.625,0.32195,4.68849,algebraic,SQUARE,40.7884
596,1,3096.37,1173.82,136.885,0.864941,6.8506,algebraic,VERTICAL_WIRE,35.5514
597,1,1924.09,1201.6,138.625,0.32195,4.68849,algebraic,NONE,22.6638
598,1,1402.09,1498.43,138.888,0.468027,4.82131,ransac,VERTICAL_WIRE,32.9249
599,1,187.903,801.578,137.648,0.520099,5.03521,algebraic,CIRCLE,39.223
600,1,1912.09,278.6,138.625,0.32195,4.68855,algebraic,NONE,36.6502
601,1,2414.09,1243.6,138.625,0.32195,4.68851,algebraic,SQUARE,25.6061
602,1,3450.58,577.572,138.298,0.77496,4.59077,algebraic,SQUARE,35.7266
603,1,2746.09,357.6,138.625,0.32195,4.68857,algebraic,CIRCLE,32.3716
604,1,3243.09,1162.6,138.625,0.32195,4.68851,algebraic,CIRCLE,25.6789
605,1,2944.09,1828.6,138.625,0.32195,4.68851,algebraic,NONE,27.9819
606,1,654.091,1236.6,138.625,0.32195,4.6885,algebraic,SQUARE,32.528
607,1,3113.68,196.202,135.228,0.99801,8.52491,algebraic,VERTICAL_WIRE,37.6158
608,1,1618.43,414.612,138.405,0.674414,4.64761,algebraic,SQUARE,34.5928
609,1,921.222,958.857,137.672,0.674653,4.86188,algebraic,VERTICAL_WIRE,34.1429
610,0,-1,-1,-1,-1,-1,none,CIRCLE,38.7491
611,1,3130.09,195.6,138.625,0.32195,4.68855,algebraic,SQUARE,31.4443
612,1,1866.22,938.388,133.337,0.723417,10.3905,algebraic,VERTICAL_WIRE,34.1301
613,0,-1,-1,-1,-1,-1,none,CIRCLE,33.8255
614,1,3506.09,565.6,138.625,0.32195,4.68857,algebraic,SQUARE,37.4541
615,0,-1,-1,-1,-1,-1,none,CIRCLE,35.6157
616,1,1205.09,1774.6,138.625,0.32195,4.68849,algebraic,CIRCLE,24.3463
617,1,2062.77,657.12,138.102,1.17685,5.12528,algebraic,SQUARE,40.8895
618,1,1282.09,295.6,138.625,0.32195,4.68855,algebraic,NONE,22.2927
